mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_coef0;param_degree;param_gamma;param_kernel;param_shrinking;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0.031203603744506835;0.0022148660772736074;0.007750272750854492;0.0007327856679042359;0;2;auto;poly;True;{'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly', 'shrinking': True};-0.10616076493393757;-0.10171803623781674;-0.07625337513300444;-0.08523540622404518;-0.12011846768002879;-0.09789721004176655;0.015527048713638967;1
0.03161182403564453;0.0026142328276601333;0.007867717742919922;0.0007691496524817874;0;2;auto;poly;False;{'coef0': 0, 'degree': 2, 'gamma': 'auto', 'kernel': 'poly', 'shrinking': False};-0.10616076493393757;-0.10171803623781674;-0.07625337513300444;-0.08523540622404518;-0.12011846768002879;-0.09789721004176655;0.015527048713638967;1
0.03141603469848633;0.002031050059963623;0.007702350616455078;0.0007380371176660198;0;3;auto;poly;False;{'coef0': 0, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly', 'shrinking': False};-0.10616352986125922;-0.10172095333169891;-0.0762663455670923;-0.08524563738661413;-0.12012219291649917;-0.09790373181263275;0.01552326831431092;3
0.031105470657348634;0.002400540919567462;0.007863092422485351;0.0009061893245189891;0;3;auto;poly;True;{'coef0': 0, 'degree': 3, 'gamma': 'auto', 'kernel': 'poly', 'shrinking': True};-0.10616352986125922;-0.10172095333169891;-0.0762663455670923;-0.08524563738661413;-0.12012219291649917;-0.09790373181263275;0.01552326831431092;3
0.03131365776062012;0.00208334401598818;0.007750082015991211;0.0006301616815902215;0;4;auto;poly;False;{'coef0': 0, 'degree': 4, 'gamma': 'auto', 'kernel': 'poly', 'shrinking': False};-0.10616353872764447;-0.101720961817079;-0.07626638566496778;-0.08524566129630484;-0.12012220466462155;-0.09790375043412353;0.015523257960641842;5
0.03161883354187012;0.002460951709021846;0.008011674880981446;0.0010713506725201945;0;4;auto;poly;True;{'coef0': 0, 'degree': 4, 'gamma': 'auto', 'kernel': 'poly', 'shrinking': True};-0.10616353872764447;-0.101720961817079;-0.07626638566496778;-0.08524566129630484;-0.12012220466462155;-0.09790375043412353;0.015523257960641842;5
0.04042072296142578;0.0032349054589929462;0.010383510589599609;0.0008894127118886401;10;3;auto;sigmoid;True;{'coef0': 10, 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': True};-0.10616353876545334;-0.10172096184628437;-0.07626638581934701;-0.08524566137776234;-0.12012220470457144;-0.0979037505026837;0.015523257921216421;7
0.040286922454833986;0.003021515278476471;0.010482358932495116;0.0006919051168193309;10;3;auto;sigmoid;False;{'coef0': 10, 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': False};-0.10616353876545334;-0.10172096184628437;-0.07626638581934701;-0.08524566137776234;-0.12012220470457144;-0.0979037505026837;0.015523257921216421;7
0.04000787734985352;0.002648475506454858;0.010229969024658203;0.0007831963389130473;10;2;auto;sigmoid;False;{'coef0': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': False};-0.10616353876545334;-0.10172096184628437;-0.07626638581934701;-0.08524566137776234;-0.12012220470457144;-0.0979037505026837;0.015523257921216421;7
0.04034724235534668;0.0025823275985872103;0.01034684181213379;0.0006861681139574583;10;2;auto;sigmoid;True;{'coef0': 10, 'degree': 2, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': True};-0.10616353876545334;-0.10172096184628437;-0.07626638581934701;-0.08524566137776234;-0.12012220470457144;-0.0979037505026837;0.015523257921216421;7
0.04027791023254394;0.003014729412942702;0.010292911529541015;0.0007435442094130177;10;4;auto;sigmoid;True;{'coef0': 10, 'degree': 4, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': True};-0.10616353876545334;-0.10172096184628437;-0.07626638581934701;-0.08524566137776234;-0.12012220470457144;-0.0979037505026837;0.015523257921216421;7
0.040387964248657225;0.0030357608043072083;0.010386896133422852;0.0008703032343332381;10;4;auto;sigmoid;False;{'coef0': 10, 'degree': 4, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': False};-0.10616353876545334;-0.10172096184628437;-0.07626638581934701;-0.08524566137776234;-0.12012220470457144;-0.0979037505026837;0.015523257921216421;7
0.04072613716125488;0.0029934937236342847;0.01030888557434082;0.0008741695880860956;10;3;scale;sigmoid;False;{'coef0': 10, 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': False};-0.1061635430657773;-0.10172096676852042;-0.0762663946402683;-0.08524567593907548;-0.12012220245555995;-0.09790375657384029;0.01552325314334762;13
0.041323518753051756;0.0029330593400815445;0.010395145416259766;0.0007491271802186877;10;3;scale;sigmoid;True;{'coef0': 10, 'degree': 3, 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': True};-0.1061635430657773;-0.10172096676852042;-0.0762663946402683;-0.08524567593907548;-0.12012220245555995;-0.09790375657384029;0.01552325314334762;13
0.041783905029296874;0.002688613715755998;0.010439109802246094;0.0008430612490780063;10;2;scale;sigmoid;True;{'coef0': 10, 'degree': 2, 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': True};-0.1061635430657773;-0.10172096676852042;-0.0762663946402683;-0.08524567593907548;-0.12012220245555995;-0.09790375657384029;0.01552325314334762;13
0.04135551452636719;0.0030243722746990127;0.010710191726684571;0.0008924286901921631;10;2;scale;sigmoid;False;{'coef0': 10, 'degree': 2, 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': False};-0.1061635430657773;-0.10172096676852042;-0.0762663946402683;-0.08524567593907548;-0.12012220245555995;-0.09790375657384029;0.01552325314334762;13
0.04135594367980957;0.0034823160197980205;0.010635471343994141;0.0010522785816693874;10;4;scale;sigmoid;False;{'coef0': 10, 'degree': 4, 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': False};-0.1061635430657773;-0.10172096676852042;-0.0762663946402683;-0.08524567593907548;-0.12012220245555995;-0.09790375657384029;0.01552325314334762;13
0.04111218452453613;0.003158758567817533;0.010409402847290038;0.00089186776689907;10;4;scale;sigmoid;True;{'coef0': 10, 'degree': 4, 'gamma': 'scale', 'kernel': 'sigmoid', 'shrinking': True};-0.1061635430657773;-0.10172096676852042;-0.0762663946402683;-0.08524567593907548;-0.12012220245555995;-0.09790375657384029;0.01552325314334762;13
0.04542961120605469;0.0037354668073255083;0.010312795639038086;0.000838753674227293;1;3;auto;sigmoid;True;{'coef0': 1, 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': True};-0.1062528592180826;-0.10174926523572246;-0.07617031460785274;-0.0854155586316118;-0.1201162025741913;-0.09794084005349217;0.015531766935942139;19
0.045353126525878903;0.004034614143138022;0.01031651496887207;0.0007781597115056481;1;3;auto;sigmoid;False;{'coef0': 1, 'degree': 3, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': False};-0.1062528592180826;-0.10174926523572246;-0.07617031460785274;-0.0854155586316118;-0.1201162025741913;-0.09794084005349217;0.015531766935942139;19
0.04541192054748535;0.003649745728687358;0.010274553298950195;0.0007869205438354478;1;4;auto;sigmoid;False;{'coef0': 1, 'degree': 4, 'gamma': 'auto', 'kernel': 'sigmoid', 'shrinking': False};-0.1062528592180826;-0.10174926523572246;-0.07617031460785274;-0.0854155586316118;-0.1201162025741913;-0.09794084005349217;0.015531766935942139;19
