mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_criterion;param_min_samples_leaf;param_min_samples_split;param_min_weight_fraction_leaf;param_splitter;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0.005579566955566407;0.00019527110996746545;0.0030338287353515623;0.00015316113439566064;squared_error;7;6;0.3;random;{'criterion': 'squared_error', 'min_samples_leaf': 7, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0.3, 'splitter': 'random'};-0.1062346526707842;-0.10103040722178985;-0.07026783237080897;-0.06991497380068162;-0.11889590903813187;-0.0932687550204393;0.019796718464508554;1
0.008050966262817382;0.0011683309625027444;0.005035209655761719;0.0011947828879808177;poisson;5;2;0.3;random;{'criterion': 'poisson', 'min_samples_leaf': 5, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.3, 'splitter': 'random'};-0.1062346526707842;-0.10061216145903011;-0.07038129701022326;-0.07198828867693295;-0.11808800913367702;-0.09346088179012951;0.01905017014741535;2
0.01148228645324707;0.0005717024865186997;0.006383943557739258;0.0005060331621014897;poisson;7;6;0.3;random;{'criterion': 'poisson', 'min_samples_leaf': 7, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0.3, 'splitter': 'random'};-0.10545685820185577;-0.10050667521583734;-0.0705374048128718;-0.07198828867693295;-0.11889590903813187;-0.09347702718912594;0.01911566904158617;3
0.00712733268737793;0.000493897363174435;0.0036684989929199217;0.0003802564340021631;friedman_mse;9;10;0.3;random;{'criterion': 'friedman_mse', 'min_samples_leaf': 9, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.3, 'splitter': 'random'};-0.10598259500339821;-0.10103040722178987;-0.06987607196800727;-0.07162978256861177;-0.11889590903813187;-0.09348295315998781;0.019462113657057457;4
0.006272315979003906;0.00041548050472929604;0.003359222412109375;0.0003851307666419128;friedman_mse;1;10;0.3;random;{'criterion': 'friedman_mse', 'min_samples_leaf': 1, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.3, 'splitter': 'random'};-0.1062346526707842;-0.10051232344065805;-0.07053740481287181;-0.07127401181887702;-0.11889590903813187;-0.0934908603562646;0.019378189622587992;5
0.005234813690185547;6.230668956729797e-05;0.002716207504272461;5.707694972084673e-05;squared_error;9;10;0.3;random;{'criterion': 'squared_error', 'min_samples_leaf': 9, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.3, 'splitter': 'random'};-0.1062346526707842;-0.10072924187616301;-0.07053740481287178;-0.07186923574876967;-0.11819180330955598;-0.09351246768362893;0.019075054023681988;6
0.006177425384521484;0.0008747725889686999;0.003228282928466797;0.0005122152171069495;friedman_mse;7;10;0.3;random;{'criterion': 'friedman_mse', 'min_samples_leaf': 7, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.3, 'splitter': 'random'};-0.10586910355540075;-0.10103040722178985;-0.0705374048128718;-0.07128400362517001;-0.11889590903813187;-0.09352336565067285;0.01936740816139065;7
0.006299495697021484;0.00021221573306376868;0.003464365005493164;0.00012847886799059857;poisson;3;2;0.3;random;{'criterion': 'poisson', 'min_samples_leaf': 3, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.3, 'splitter': 'random'};-0.1060874287883526;-0.10103040722178987;-0.0705374048128718;-0.07184868416236186;-0.11815190727884071;-0.09353116645284337;0.019073134652712764;8
0.005255222320556641;0.0001086940862610886;0.0027640342712402345;8.174877660697299e-05;squared_error;7;14;0.3;random;{'criterion': 'squared_error', 'min_samples_leaf': 7, 'min_samples_split': 14, 'min_weight_fraction_leaf': 0.3, 'splitter': 'random'};-0.1059741505269778;-0.10103040722178987;-0.07013867441183087;-0.07162978256861177;-0.11889590903813187;-0.09353378475346844;0.019397504462448575;9
0.009035968780517578;0.000960200256876859;0.004332256317138672;0.0007838707668088678;squared_error;1;6;0.1;random;{'criterion': 'squared_error', 'min_samples_leaf': 1, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0.1, 'splitter': 'random'};-0.10686983817821621;-0.10011713278255385;-0.07135211371912045;-0.07066350831164284;-0.11867941095080985;-0.09353640078846864;0.019331680471493275;10
0.013237571716308594;0.0011191466294074458;0.00694422721862793;0.0004548694940396732;poisson;9;10;0.3;random;{'criterion': 'poisson', 'min_samples_leaf': 9, 'min_samples_split': 10, 'min_weight_fraction_leaf': 0.3, 'splitter': 'random'};-0.1062346526707842;-0.10103040722178985;-0.06979345393411804;-0.07180585141781871;-0.11889590903813187;-0.09355205485652854;0.019475386866420214;11
0.005864667892456055;0.0005389479988504632;0.0030898571014404295;0.0002360602278009337;friedman_mse;9;18;0.3;random;{'criterion': 'friedman_mse', 'min_samples_leaf': 9, 'min_samples_split': 18, 'min_weight_fraction_leaf': 0.3, 'splitter': 'random'};-0.1057878925197387;-0.10061204283180086;-0.0705374048128718;-0.07198828867693297;-0.11889590903813187;-0.09356430757589523;0.019165278375981885;12
0.005528926849365234;0.00012588952518803427;0.002981090545654297;0.00011672137969154701;friedman_mse;1;6;0.3;random;{'criterion': 'friedman_mse', 'min_samples_leaf': 1, 'min_samples_split': 6, 'min_weight_fraction_leaf': 0.3, 'splitter': 'random'};-0.10613499979982619;-0.10103040722178987;-0.0705374048128718;-0.07198828867693297;-0.11817261043613013;-0.0935727421895102;0.019053062762951524;13
