mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_activation;param_hidden_layer_sizes;param_learning_rate;param_max_iter;param_solver;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0.8366304874420166;0.07171931173493039;0.008549308776855469;0.00012892504009544474;logistic;(300,);adaptive;100;adam;{'activation': 'logistic', 'hidden_layer_sizes': (300,), 'learning_rate': 'adaptive', 'max_iter': 100, 'solver': 'adam'};-0.10744662443370571;-0.1027981213830886;-0.06842375967641912;-0.06876527096286726;-0.11870290227649002;-0.09322733574651414;0.020767294469133474;1
0.701554250717163;0.08864686970920722;0.00942525863647461;0.002686268767174902;logistic;(300,);constant;200;adam;{'activation': 'logistic', 'hidden_layer_sizes': (300,), 'learning_rate': 'constant', 'max_iter': 200, 'solver': 'adam'};-0.10614056535163909;-0.10177399162269986;-0.06832471855290208;-0.0710609862985726;-0.11919598635837245;-0.09329924963683722;0.020127737940479642;2
0.795877742767334;0.1191030665585097;0.00883173942565918;0.0002550584977029779;logistic;(300,);constant;300;adam;{'activation': 'logistic', 'hidden_layer_sizes': (300,), 'learning_rate': 'constant', 'max_iter': 300, 'solver': 'adam'};-0.10701782360965367;-0.10112969371434608;-0.06895358888056839;-0.06929484175642305;-0.12073952385246033;-0.0934270943626903;0.020839025165809447;3
0.536870002746582;0.045526101030399016;0.007651233673095703;0.0012759127346822872;logistic;(200,);constant;200;adam;{'activation': 'logistic', 'hidden_layer_sizes': (200,), 'learning_rate': 'constant', 'max_iter': 200, 'solver': 'adam'};-0.10621018768676814;-0.10113674864660957;-0.07089097132105567;-0.07095631966540068;-0.11915959768484173;-0.09367076500093516;0.019480881148852103;4
0.9519376277923584;0.4287124538525337;0.009847640991210938;0.004755485037495373;logistic;(200,);invscaling;100;adam;{'activation': 'logistic', 'hidden_layer_sizes': (200,), 'learning_rate': 'invscaling', 'max_iter': 100, 'solver': 'adam'};-0.11006870618341012;-0.10056718932365194;-0.06903237450546697;-0.06932428015777205;-0.1194259488957477;-0.09368369981320976;0.02087861784121346;5
1.2458141326904297;0.24241185229929224;0.011450624465942383;0.0015710022687193176;logistic;(400,);adaptive;100;adam;{'activation': 'logistic', 'hidden_layer_sizes': (400,), 'learning_rate': 'adaptive', 'max_iter': 100, 'solver': 'adam'};-0.10729931208314744;-0.10384346361860675;-0.06853073826553066;-0.06817752347791606;-0.12078552211980657;-0.0937273119130015;0.02147715747576927;6
0.7247040271759033;0.0815486942271909;0.008455896377563476;4.3871506330190456e-05;logistic;(300,);invscaling;200;adam;{'activation': 'logistic', 'hidden_layer_sizes': (300,), 'learning_rate': 'invscaling', 'max_iter': 200, 'solver': 'adam'};-0.10685115270403248;-0.10406844915433378;-0.06928725360865648;-0.06755481696272621;-0.12093640911740539;-0.09373961630943087;0.02145611554817045;7
0.9436824321746826;0.17093035824688718;0.011068439483642578;0.0035860457454179244;logistic;(400,);constant;300;adam;{'activation': 'logistic', 'hidden_layer_sizes': (400,), 'learning_rate': 'constant', 'max_iter': 300, 'solver': 'adam'};-0.10674321522942545;-0.10269169419653859;-0.07114695928038135;-0.06843621700197372;-0.11998690417316904;-0.09380099797629762;0.02043929907394386;8
1.3295541763305665;0.24002434704801673;0.019471502304077147;0.010476399811459185;logistic;(200,);adaptive;300;adam;{'activation': 'logistic', 'hidden_layer_sizes': (200,), 'learning_rate': 'adaptive', 'max_iter': 300, 'solver': 'adam'};-0.10705454437271955;-0.1018575884931672;-0.06841015554827035;-0.07389135331015405;-0.11878266176557851;-0.09399926069797793;0.019521992510613557;9
0.6495419979095459;0.08257002235064373;0.009346437454223634;0.00013488748089743096;logistic;(400,);constant;300;sgd;{'activation': 'logistic', 'hidden_layer_sizes': (400,), 'learning_rate': 'constant', 'max_iter': 300, 'solver': 'sgd'};-0.10574743929309964;-0.10137840705861667;-0.06944596553599655;-0.07391201014345375;-0.11956376951490472;-0.09400951830921425;0.019247737656275347;10
1.1175454139709473;0.22601307670130322;0.013603925704956055;0.004141820528342538;logistic;(200,);adaptive;100;adam;{'activation': 'logistic', 'hidden_layer_sizes': (200,), 'learning_rate': 'adaptive', 'max_iter': 100, 'solver': 'adam'};-0.10789301454686347;-0.10407565944122608;-0.06907707619420644;-0.07019656254670878;-0.11891240506276674;-0.0940309435583543;0.020508113860077015;11
0.707965087890625;0.13663709804297525;0.009438323974609374;0.00012356426936453962;logistic;(400,);constant;100;sgd;{'activation': 'logistic', 'hidden_layer_sizes': (400,), 'learning_rate': 'constant', 'max_iter': 100, 'solver': 'sgd'};-0.10523590059505607;-0.10115846399488383;-0.06908374991905133;-0.0750489313994611;-0.11993296281835004;-0.09409200174536048;0.019130749212087406;12
2.8039010047912596;0.5122454093443926;0.01010909080505371;0.001802764891847609;logistic;(300,);adaptive;100;sgd;{'activation': 'logistic', 'hidden_layer_sizes': (300,), 'learning_rate': 'adaptive', 'max_iter': 100, 'solver': 'sgd'};-0.10597384472447394;-0.1012079575718829;-0.06917324546477448;-0.07450955027801166;-0.11980245729447865;-0.09413341106672432;0.019273042265461594;13
6.050826692581177;1.6198362209070531;0.0128509521484375;0.0020518278948171253;logistic;(200,);adaptive;300;sgd;{'activation': 'logistic', 'hidden_layer_sizes': (200,), 'learning_rate': 'adaptive', 'max_iter': 300, 'solver': 'sgd'};-0.1060715942927277;-0.10117322373981766;-0.06925114007678655;-0.07443367421322111;-0.11991560045375241;-0.09416904655526108;0.019308035441609344;14
