model;fold;train_time;mean_absolute_error;median_absolute_error;mean_squared_error;root_mean_squared_error
linear_reg;1;0.08736276626586914;0.0790439522366771;0.05221730451955081;0.014847744758971753;0.12185132235216717
linear_reg;2;0.031063556671142578;0.08650273221381387;0.06230512019569533;0.01774088171554622;0.13319490123704517
linear_reg;3;0.028751850128173828;0.05654727678238955;0.04880376511983234;0.0052387029012173035;0.07237888436013161
linear_reg;4;0.02726459503173828;0.06564624408221456;0.04706647838428699;0.0095526692807118;0.09773775770249592
linear_reg;5;0.027031421661376953;0.07806830580298328;0.05403763632482798;0.015675647764738256;0.12520242715194566
mlp;1;0.7378847599029541;0.067588527910851;0.047059245855539555;0.011639837118750301;0.10788807681458736
mlp;2;0.5628664493560791;0.0763458246296293;0.06932036921246795;0.01052978697116811;0.10261475026119837
mlp;3;0.5989794731140137;0.053090422649949;0.04534280718348758;0.004801943960854965;0.06929606021163805
mlp;4;0.6282870769500732;0.05865495035769842;0.05594018870541391;0.0053283557992959965;0.0729955875330557
mlp;5;0.6060805320739746;0.06946403827507847;0.040883853467337194;0.01567122857530249;0.12518477772997197
svm;1;0.0639345645904541;0.07623882892819055;0.06694010125659036;0.01127010801135875;0.10616076493393757
svm;2;0.0394134521484375;0.07951025268907243;0.07319566167590437;0.0103465588960778;0.10171803623781674
svm;3;0.033327341079711914;0.06288530334402512;0.059106076302153546;0.0058145772191747006;0.07625337513300444
svm;4;0.033480167388916016;0.0749763299294011;0.08358679816104211;0.007265074474178001;0.08523540622404518
svm;5;0.0287630558013916;0.0843988492561661;0.07011874036044666;0.014428446277798122;0.12011846768002879
d_tree;1;0.006344318389892578;0.06834970148082685;0.05154992506376659;0.011270440019829513;0.10616232862851828
d_tree;2;0.0053539276123046875;0.07041941224623177;0.05661500586545453;0.010207143183400687;0.10103040722178985
d_tree;3;0.007816791534423828;0.0540882909637979;0.04761962864635934;0.004975525477734949;0.0705374048128718
d_tree;4;0.0068590641021728516;0.058895162354485345;0.05900314334249667;0.005182313706633435;0.07198828867693297
d_tree;5;0.00554656982421875;0.07176139913477554;0.052638781461709735;0.014136237186003726;0.11889590903813187
forest;1;0.9081122875213623;0.06690088434515579;0.04781267237789368;0.011094902640741817;0.10533234375414713
forest;2;0.9225931167602539;0.07061375526420717;0.05898809870067297;0.010138164959235313;0.10068845494511927
forest;3;0.9581944942474365;0.05204399952477361;0.045553523917039165;0.0047779524248246965;0.06912273450048614
forest;4;1.03806734085083;0.058690426921809535;0.05609473612800433;0.005285281166630721;0.07269993924777875
forest;5;1.1045610904693604;0.0712350018685191;0.04903385541238602;0.014548120514711884;0.1206155898493718
