mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_bootstrap;param_criterion;param_max_samples;param_min_samples_leaf;param_min_weight_fraction_leaf;param_n_estimators;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score
0.913759183883667;0.02180005692419223;0.014054346084594726;0.00023808405295588738;True;squared_error;0.4;1;0.1;100;{'bootstrap': True, 'criterion': 'squared_error', 'max_samples': 0.4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1, 'n_estimators': 100};-0.10508425642151008;-0.10006964372540815;-0.06970393204880623;-0.07162195170204355;-0.12001941185104979;-0.09329983914976356;0.019623128934394746;1
1.41740083694458;0.3389539019752627;0.023591947555541993;0.014586534943657511;True;poisson;0.4;6;0.1;100;{'bootstrap': True, 'criterion': 'poisson', 'max_samples': 0.4, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.1, 'n_estimators': 100};-0.10522224730200157;-0.10021159748081421;-0.06966542748700194;-0.07127547107178407;-0.12019245689462657;-0.09331344004724566;0.019782752020403346;2
1.8274933338165282;0.03638791717491741;0.024630928039550783;0.00032549955734992113;True;friedman_mse;0.4;1;0.1;200;{'bootstrap': True, 'criterion': 'friedman_mse', 'max_samples': 0.4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1, 'n_estimators': 200};-0.10530810125214872;-0.10039608147265618;-0.06965937502696835;-0.07106296141037856;-0.12015126359139955;-0.09331555655071026;0.019843906111064624;3
2.6786993026733397;0.053995723254048486;0.03582477569580078;0.0009282572437090805;True;friedman_mse;0.4;6;0.1;300;{'bootstrap': True, 'criterion': 'friedman_mse', 'max_samples': 0.4, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.1, 'n_estimators': 300};-0.10535014435562755;-0.10030120637716183;-0.06915449154771196;-0.07175188350627813;-0.12018978896035835;-0.09334950294942758;0.01982220103921961;4
2.7388060092926025;0.08209267745344716;0.03547511100769043;0.00022665513235674552;True;friedman_mse;0.4;8;0.1;300;{'bootstrap': True, 'criterion': 'friedman_mse', 'max_samples': 0.4, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.1, 'n_estimators': 300};-0.10497872614377046;-0.1003044790267917;-0.0695788952008285;-0.07161681717988569;-0.1204024679926741;-0.09337627710879008;0.01976269860716915;5
0.8740784645080566;0.01604203076197903;0.013986778259277344;0.000170450936510496;True;squared_error;0.4;8;0.1;100;{'bootstrap': True, 'criterion': 'squared_error', 'max_samples': 0.4, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.1, 'n_estimators': 100};-0.10507203189029775;-0.10023905756361967;-0.06980136298405724;-0.07132642599975714;-0.12045763626750614;-0.0933793029410476;0.01979525657072658;6
0.9006746768951416;0.02101866499275461;0.014284801483154298;0.00010915649326220286;True;friedman_mse;0.4;6;0.1;100;{'bootstrap': True, 'criterion': 'friedman_mse', 'max_samples': 0.4, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.1, 'n_estimators': 100};-0.10520564112875912;-0.10034854157021901;-0.06999578998868015;-0.0714107172565848;-0.11995204384632469;-0.09338254675811355;0.01961606741208247;7
1.780400037765503;0.043431210847384015;0.024935293197631835;0.00035023766849294274;True;squared_error;0.4;8;0.1;200;{'bootstrap': True, 'criterion': 'squared_error', 'max_samples': 0.4, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.1, 'n_estimators': 200};-0.10535010381375523;-0.10013205854331696;-0.06932319021081122;-0.07186869880186189;-0.12026122742389815;-0.09338705575872869;0.019763299295671066;8
1.3234946250915527;0.16767639985037186;0.029380369186401366;0.014611743256397311;True;poisson;0.4;1;0.1;100;{'bootstrap': True, 'criterion': 'poisson', 'max_samples': 0.4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1, 'n_estimators': 100};-0.10521712136551802;-0.10001017524275954;-0.06996176742616847;-0.0717779391160492;-0.12007849869219206;-0.09340910036853745;0.019554768807364724;9
2.0295443534851074;0.1028972167384956;0.03298068046569824;0.015457432227669845;True;poisson;0.4;8;0.1;200;{'bootstrap': True, 'criterion': 'poisson', 'max_samples': 0.4, 'min_samples_leaf': 8, 'min_weight_fraction_leaf': 0.1, 'n_estimators': 200};-0.1054289495050195;-0.10029472750206953;-0.06954276345418617;-0.07161299718821718;-0.12023691949998133;-0.09342327142989475;0.0197802510656305;10
1.799084758758545;0.03515950189564295;0.024905681610107422;0.00041863972549081803;True;friedman_mse;0.4;6;0.1;200;{'bootstrap': True, 'criterion': 'friedman_mse', 'max_samples': 0.4, 'min_samples_leaf': 6, 'min_weight_fraction_leaf': 0.1, 'n_estimators': 200};-0.1050883258826377;-0.10021474891351553;-0.06927437353420357;-0.07210075458293408;-0.12044910182702984;-0.09342546094806414;0.019750504503663634;11
2.2475698471069334;0.3372133821306021;0.030430936813354494;0.006132293921714069;True;poisson;0.4;1;0.1;200;{'bootstrap': True, 'criterion': 'poisson', 'max_samples': 0.4, 'min_samples_leaf': 1, 'min_weight_fraction_leaf': 0.1, 'n_estimators': 200};-0.10534518153298046;-0.10031070415294065;-0.06987096155695366;-0.07155814064103605;-0.12006652221260022;-0.09343030201930222;0.019658211922296873;12
