TP_GRAU_ACADEMICO;IN_GRATUITO;QT_CURSO;QT_VG_TOTAL;QT_VG_TOTAL_DIURNO;QT_VG_TOTAL_NOTURNO;QT_VG_TOTAL_EAD;QT_VG_NOVA;QT_VG_PROC_SELETIVO;QT_VG_REMANESC;QT_VG_PROG_ESPECIAL;QT_INSCRITO_TOTAL;QT_INSCRITO_TOTAL_DIURNO;QT_INSCRITO_TOTAL_NOTURNO;QT_INSCRITO_TOTAL_EAD;QT_INSC_VG_NOVA;QT_INSC_PROC_SELETIVO;QT_INSC_VG_REMANESC;QT_INSC_VG_PROG_ESPECIAL;QT_ING;QT_ING_FEM;QT_ING_MASC;QT_ING_DIURNO;QT_ING_NOTURNO;QT_ING_VG_NOVA;QT_ING_VESTIBULAR;QT_ING_ENEM;QT_ING_AVALIACAO_SERIADA;QT_ING_SELECAO_SIMPLIFICA;QT_ING_EGR;QT_ING_OUTRO_TIPO_SELECAO;QT_ING_PROC_SELETIVO;QT_ING_VG_REMANESC;QT_ING_VG_PROG_ESPECIAL;QT_ING_OUTRA_FORMA;QT_ING_0_17;QT_ING_18_24;QT_ING_25_29;QT_ING_30_34;QT_ING_35_39;QT_ING_40_49;QT_ING_50_59;QT_ING_60_MAIS;QT_ING_BRANCA;QT_ING_PRETA;QT_ING_PARDA;QT_ING_AMARELA;QT_ING_INDIGENA;QT_ING_CORND;QT_MAT;QT_MAT_FEM;QT_MAT_MASC;QT_MAT_DIURNO;QT_MAT_NOTURNO;QT_MAT_0_17;QT_MAT_18_24;QT_MAT_25_29;QT_MAT_30_34;QT_MAT_35_39;QT_MAT_40_49;QT_MAT_50_59;QT_MAT_60_MAIS;QT_MAT_BRANCA;QT_MAT_PRETA;QT_MAT_PARDA;QT_MAT_AMARELA;QT_MAT_INDIGENA;QT_MAT_CORND;QT_CONC;QT_CONC_FEM;QT_CONC_MASC;QT_CONC_DIURNO;QT_CONC_NOTURNO;QT_CONC_0_17;QT_CONC_18_24;QT_CONC_25_29;QT_CONC_30_34;QT_CONC_35_39;QT_CONC_40_49;QT_CONC_50_59;QT_CONC_60_MAIS;QT_CONC_BRANCA;QT_CONC_PRETA;QT_CONC_PARDA;QT_CONC_AMARELA;QT_CONC_INDIGENA;QT_CONC_CORND;QT_ING_NACBRAS;QT_ING_NACESTRANG;QT_MAT_NACBRAS;QT_MAT_NACESTRANG;QT_CONC_NACBRAS;QT_CONC_NACESTRANG;QT_ALUNO_DEFICIENTE;QT_ING_DEFICIENTE;QT_MAT_DEFICIENTE;QT_CONC_DEFICIENTE;QT_ING_FINANC;QT_ING_FINANC_REEMB;QT_ING_FIES;QT_ING_RPFIES;QT_ING_FINANC_REEMB_OUTROS;QT_ING_FINANC_NREEMB;QT_ING_PROUNII;QT_ING_PROUNIP;QT_ING_NRPFIES;QT_ING_FINANC_NREEMB_OUTROS;QT_MAT_FINANC;QT_MAT_FINANC_REEMB;QT_MAT_FIES;QT_MAT_RPFIES;QT_MAT_FINANC_REEMB_OUTROS;QT_MAT_FINANC_NREEMB;QT_MAT_PROUNII;QT_MAT_PROUNIP;QT_MAT_NRPFIES;QT_MAT_FINANC_NREEMB_OUTROS;QT_CONC_FINANC;QT_CONC_FINANC_REEMB;QT_CONC_FIES;QT_CONC_RPFIES;QT_CONC_FINANC_REEMB_OUTROS;QT_CONC_FINANC_NREEMB;QT_CONC_PROUNII;QT_CONC_PROUNIP;QT_CONC_NRPFIES;QT_CONC_FINANC_NREEMB_OUTROS;QT_ING_RESERVA_VAGA;QT_ING_RVREDEPUBLICA;QT_ING_RVETNICO;QT_ING_RVPDEF;QT_ING_RVSOCIAL_RF;QT_ING_RVOUTROS;QT_MAT_RESERVA_VAGA;QT_MAT_RVREDEPUBLICA;QT_MAT_RVETNICO;QT_MAT_RVPDEF;QT_MAT_RVSOCIAL_RF;QT_MAT_RVOUTROS;QT_CONC_RESERVA_VAGA;QT_CONC_RVREDEPUBLICA;QT_CONC_RVETNICO;QT_CONC_RVPDEF;QT_CONC_RVSOCIAL_RF;QT_CONC_RVOUTROS;QT_SIT_TRANCADA;QT_SIT_TRANSFERIDO;QT_SIT_FALECIDO;QT_ING_PROCESCPUBLICA;QT_ING_PROCESCPRIVADA;QT_ING_PROCNAOINFORMADA;QT_MAT_PROCESCPUBLICA;QT_MAT_PROCESCPRIVADA;QT_MAT_PROCNAOINFORMADA;QT_CONC_PROCESCPUBLICA;QT_CONC_PROCESCPRIVADA;QT_CONC_PROCNAOINFORMADA;QT_PARFOR;QT_ING_PARFOR;QT_MAT_PARFOR;QT_CONC_PARFOR;QT_APOIO_SOCIAL;QT_ING_APOIO_SOCIAL;QT_MAT_APOIO_SOCIAL;QT_CONC_APOIO_SOCIAL;QT_ATIV_EXTRACURRICULAR;QT_ING_ATIV_EXTRACURRICULAR;QT_MAT_ATIV_EXTRACURRICULAR;QT_CONC_ATIV_EXTRACURRICULAR;QT_MOB_ACADEMICA;QT_ING_MOB_ACADEMICA;QT_MAT_MOB_ACADEMICA;QT_CONC_MOB_ACADEMICA;PERC_DESVINCULADO
3.0;0;1;440;220;220;0;240;0;100;100;575;262;313;0;375;0;100;100;24;7;17;6;18;22;10;12;0;0;0;0;0;2;0;0;0;14;4;1;2;2;0;1;6;4;13;1;0;0;20;6;14;5;15;0;10;4;1;2;2;0;1;6;4;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;20;0;0;0;0;0;0;0;24;0;0;0;0;24;0;0;24;0;20;0;0;0;0;20;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;18;6;0;14;6;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0.1
1.0;0;1;239;123;116;0;180;0;59;0;773;493;280;0;714;0;59;0;121;25;96;80;41;107;40;67;0;0;0;0;0;14;0;0;0;107;12;1;0;0;1;0;55;4;45;0;0;17;227;29;198;108;119;0;186;34;4;1;1;1;0;107;9;96;1;0;14;21;4;17;3;18;0;15;5;1;0;0;0;0;8;2;11;0;0;0;121;0;226;1;21;0;3;0;1;0;120;0;0;0;0;120;2;1;120;0;224;0;0;0;0;224;9;5;223;0;20;0;0;0;0;20;2;3;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80;2;0;78;43;0;105;122;0;7;14;0;0;0;0;0;0;0;0;0;210;87;167;14;0;0;0;0;0.3832599118942731
1.0;0;1;306;153;153;0;240;0;66;0;270;135;135;0;204;0;66;0;16;2;14;16;0;13;6;7;0;0;0;0;0;3;0;0;0;11;2;2;0;1;0;0;7;2;6;0;0;1;81;8;73;51;30;0;50;13;9;4;5;0;0;35;2;39;1;0;4;18;1;17;3;15;0;9;3;2;1;3;0;0;8;0;10;0;0;0;16;0;80;1;18;0;2;0;2;0;16;0;0;0;0;16;1;0;16;0;79;0;0;0;0;79;6;0;79;0;18;0;0;0;0;18;3;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;2;0;12;4;0;44;37;0;9;9;0;0;0;0;0;0;0;0;0;12;1;12;3;0;0;0;0;0.18518518518518517
1.0;0;1;214;107;107;0;180;0;34;0;304;162;142;0;270;0;34;0;34;6;28;23;11;31;6;25;0;0;0;0;0;3;0;0;0;31;2;1;0;0;0;0;12;1;15;3;0;3;116;14;102;51;65;0;84;24;2;4;2;0;0;52;6;53;3;0;2;13;3;10;3;10;0;5;6;0;1;1;0;0;7;0;6;0;0;0;34;0;116;0;13;0;2;1;2;0;34;0;0;0;0;34;1;1;34;0;113;0;0;0;0;113;6;3;112;0;12;0;0;0;0;12;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52;4;0;22;12;0;56;60;0;4;9;0;0;0;0;0;0;0;0;0;107;19;84;7;0;0;0;0;0.4396551724137931
3.0;0;1;127;87;40;0;120;0;7;0;100;82;18;0;93;0;7;0;15;1;14;15;0;15;6;9;0;0;0;0;0;0;0;0;0;14;1;0;0;0;0;0;7;0;7;0;0;1;79;7;72;79;0;0;58;18;3;0;0;0;0;41;2;32;0;0;4;17;1;16;17;0;0;10;6;1;0;0;0;0;9;1;5;0;0;2;15;0;79;0;17;0;6;2;4;0;15;0;0;0;0;15;1;0;15;0;77;0;0;0;0;77;3;2;77;0;17;0;0;0;0;17;0;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;7;8;0;40;39;0;5;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.34177215189873417
3.0;0;1;86;36;50;0;85;0;1;0;221;116;105;0;220;0;1;0;33;4;29;33;0;32;26;6;0;0;0;0;0;1;0;0;0;27;5;0;1;0;0;0;29;0;4;0;0;0;27;3;24;27;0;0;23;4;0;0;0;0;0;24;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;27;0;0;0;0;0;0;0;6;0;0;0;0;6;1;5;0;0;6;0;0;0;0;6;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;12;21;0;11;16;0;0;0;0;0;0;0;0;0;0;0;0;27;27;26;0;0;0;0;0;0.18518518518518517
1.0;0;1;23;20;3;0;20;0;3;0;64;61;3;0;61;0;3;0;23;5;18;20;3;20;19;1;0;0;0;0;0;3;0;0;0;19;4;0;0;0;0;0;17;1;5;0;0;0;58;7;51;18;40;0;41;11;3;0;3;0;0;51;1;6;0;0;0;8;1;7;0;8;0;4;3;1;0;0;0;0;8;0;0;0;0;0;23;0;58;0;8;0;0;0;0;0;3;0;0;0;0;3;1;2;0;0;19;0;0;0;0;19;2;17;0;0;6;0;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;10;13;0;24;34;0;5;3;0;0;0;0;0;0;0;0;0;67;22;58;8;0;0;0;0;0.10344827586206896
3.0;0;1;165;0;165;0;150;0;15;0;118;0;118;0;103;0;15;0;102;21;81;0;102;94;54;29;0;11;0;0;0;7;0;1;0;64;17;13;5;3;0;0;40;12;47;0;0;3;135;24;111;0;135;0;84;23;16;7;3;2;0;50;17;63;0;0;5;18;2;16;0;18;0;10;3;2;1;1;1;0;9;3;6;0;0;0;102;0;135;0;18;0;6;4;4;1;11;0;0;0;0;11;11;0;0;0;13;0;0;0;0;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;78;24;0;93;42;0;7;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.32592592592592595
3.0;0;1;324;162;162;0;144;0;180;0;1349;513;836;0;1169;0;180;0;394;60;334;148;246;314;314;0;0;0;0;0;0;80;0;0;2;290;62;14;18;8;0;0;101;42;125;4;1;121;542;83;459;197;345;1;395;88;25;21;9;2;1;132;50;184;6;1;169;53;6;47;12;41;0;32;15;4;2;0;0;0;12;3;23;1;1;13;393;1;542;0;53;0;1;0;0;0;394;3;1;2;0;394;18;0;394;0;542;4;1;3;0;542;21;0;539;0;53;0;0;0;0;53;1;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;271;44;1;182;212;0;271;271;0;33;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.22878228782287824
1.0;0;1;774;387;387;0;240;0;534;0;383;162;221;0;373;0;10;0;57;5;52;55;2;49;49;0;0;0;0;0;0;8;0;0;0;48;4;5;0;0;0;0;11;7;21;1;0;17;102;11;91;102;0;0;89;12;1;0;0;0;0;23;10;40;1;0;28;19;4;15;19;0;0;16;3;0;0;0;0;0;5;1;7;0;0;6;57;0;102;0;19;0;0;0;0;0;57;0;0;0;0;57;1;0;56;0;99;0;0;0;0;99;7;0;92;0;16;0;0;0;0;16;5;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;8;0;27;30;0;54;48;0;11;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.24509803921568626
