CO_CURSO_IND;TADA
36;0.01923076923
112846;0.02777777778
118002;0.05769230769
127;0.09259259259000001
112891;0.059479553899999996
122204;0.06451612903
317;0.03174603175
95017;0.020408163269999998
99406;0.09722222221999999
116188;0.09836065574
62484;0.01639344262
112086;0.05882352941
122634;0.01886792453
1158678;0.0
513;0.01449275362
102590;0.023529411759999997
594;0.08333333333000001
80779;0.1777777778
614;0.02898550725
631;0.0
112680;0.04615384615
703;0.08510638298
118336;0.09375
1161839;0.01960784314
778;0.10256410259999998
865;0.06930693069
18686;0.0
1114891;0.01052631579
1427316;0.02280130293
1427323;0.0
1427333;0.0
1428437;0.01123595506
1429217;0.020833333330000002
968;0.05882352941
1108686;0.0612244898
1051;0.05357142857
116066;0.0
1110;0.09302325581
75926;0.0
1190154;0.2820512821
1257566;0.2608695652
1465650;0.04285714286
1465651;0.025
1467924;0.14285714289999998
1516520;0.05263157895
1261;0.08823529411999999
57702;0.05376344086
80670;0.06849315068
80675;0.09756097561
90237;0.04918032787
1116731;0.0625
1121217;0.12
1121421;0.11904761900000001
1265420;0.05882352941
1332183;0.08695652173999999
1363830;0.025
1481762;0.1333333333
5000201;0.0782122905
103226;0.0
1458746;0.0
1452;0.2365591398
115728;0.3829787234
1137717;0.2195121951
1187249;0.23684210530000002
1457530;0.0
1457542;0.11111111109999999
1660;0.02325581395
111476;0.03921568627
119592;0.0
1154703;0.0243902439
1374865;0.0
1721;0.05555555556
98361;0.0303030303
1312996;0.09090909091
1904;0.06666666667
56702;0.04761904762
56766;0.0
1314299;0.05504587156
18974;0.021739130430000003
21446;0.0062111801200000006
1191569;0.03260869565
1445252;0.03389830508
1445253;0.03333333333
2090;0.07142857142999999
58498;0.0
108352;0.06666666667
1483990;0.25
1483992;0.0
20239;0.05
20812;0.0
2209;0.0
2310;0.2
1428353;0.0
115664;0.07954545455
121131;0.3229813665
1159447;0.07446808511
1159625;0.16129032259999998
1159626;0.041666666670000005
1213441;0.0412371134
5000884;0.029268292680000002
2388;0.020408163269999998
1150344;0.04597701149
1156118;0.08695652173999999
1179252;0.0
18671;0.08823529411999999
103062;0.16129032259999998
54520;0.03448275862
62742;0.08888888889
113293;0.08064516128999999
1267253;0.051282051280000004
60428;0.05555555556
60430;0.040816326529999995
60462;0.025641025640000002
60464;0.0
64276;0.0
64288;0.03703703704
99765;0.0
99894;0.0
110926;0.02325581395
1430245;0.0
1458091;0.12962962960000002
2717;0.014925373129999999
41278;0.07692307692
1214936;0.0
2865;0.046875
2883;0.0
21428;0.03448275862
60188;0.0
91611;0.029239766079999997
1446036;0.0
3190;0.02777777778
3193;0.0625
3197;0.054054054049999994
3211;0.01587301587
52048;0.025
3419;0.1136363636
19392;0.1627906977
150268;0.05882352941
1367984;0.027027027029999998
1485025;0.125
3531;0.09677419355
1374696;0.025641025640000002
20933;0.0
57606;0.03333333333
3676;0.08411214953
54172;0.05
20985;0.04651162791
56757;0.028571428569999998
